competition_id,competition_name,competition_url,competition_type,ccode,gender
42,Champions League,/leagues/42/overview/champions-league,Club International Cups,INT,M
73,Europa League,/leagues/73/overview/europa-league,Club International Cups,INT,M
525,AFC Champions League,/leagues/525/overview/afc-champions-league,Club International Cups,INT,M
9469,AFC Cup,/leagues/9469/overview/afc-cup,Club International Cups,INT,M
9841,AFC U19,/leagues/9841/overview/afc-u19,National Team Competitions,INT,M
9265,AFF Suzuki Cup,/leagues/9265/overview/aff-suzuki-cup,Club International Cups,INT,M
289,Africa Cup of Nations,/leagues/289/overview/africa-cup-of-nations,National Team Competitions,INT,M
9428,African Nations Championship,/leagues/9428/overview/african-nations-championship,National Team Competitions,INT,M
9579,Algarve Cup (W),/leagues/9579/overview/algarve-cup-(w),National Team Competitions,INT,F
290,Asian Cup,/leagues/290/overview/asian-cup,National Team Competitions,INT,M
526,CAF Champions League,/leagues/526/overview/caf-champions-league,Club International Cups,INT,M
9468,CAF Confed Cup,/leagues/9468/overview/caf-confed-cup,National Team Competitions,INT,M
9467,CAF Super Cup,/leagues/9467/overview/caf-super-cup,Club International Cups,INT,M
9875,Campeones Cup,/leagues/9875/overview/campeones-cup,Club International Cups,INT,M
9306,CECAFA Cup,/leagues/9306/overview/cecafa-cup,Club International Cups,INT,M
297,CONCACAF Champions League,/leagues/297/overview/concacaf-champions-league,Club International Cups,INT,M
298,CONCACAF Gold Cup,/leagues/298/overview/concacaf-gold-cup,National Team Competitions,INT,M
9682,CONCACAF League,/leagues/9682/overview/concacaf-league,Club International Cups,INT,M
9821,CONCACAF Nations League,/leagues/9821/overview/concacaf-nations-league,National Team Competitions,INT,M
44,Copa America,/leagues/44/overview/copa-america,National Team Competitions,INT,M
45,Copa Libertadores,/leagues/45/overview/copa-libertadores,Club International Cups,INT,M
299,Copa Sudamericana,/leagues/299/overview/copa-sudamericana,Club International Cups,INT,M
50,EURO,/leagues/50/overview/euro,National Team Competitions,INT,M
292,Euro Championship (Women),/leagues/292/overview/euro-championship-(women),National Team Competitions,INT,F
287,EURO U19,/leagues/287/overview/euro-u19,National Team Competitions,INT,M
288,EURO U21,/leagues/288/overview/euro-u21,National Team Competitions,INT,M
10216,Europa Conference League,/leagues/10216/overview/europa-conference-league,Club International Cups,INT,M
301,European Championship U-17,/leagues/301/overview/european-championship-u-17,National Team Competitions,INT,M
10242,FIFA Arab Cup,/leagues/10242/overview/fifa-arab-cup,National Team Competitions,INT,M
78,FIFA Club World Cup,/leagues/78/overview/fifa-club-world-cup,Club International Cups,INT,M
9408,International Champions Cup,/leagues/9408/overview/international-champions-cup,Club International Cups,INT,M
10043,Leagues Cup,/leagues/10043/overview/leagues-cup,Club International Cups,INT,M
491,Recopa Sudamericana,/leagues/491/overview/recopa-sudamericana,Club International Cups,INT,M
9876,SAFF Championship,/leagues/9876/overview/saff-championship,Club International Cups,INT,M
9921,SheBelieves Cup (W),/leagues/9921/overview/shebelieves-cup-(w),National Team Competitions,INT,F
66,Summer Olympics,/leagues/66/overview/summer-olympics,National Team Competitions,INT,M
65,Summer Olympics (Women),/leagues/65/overview/summer-olympics-(women),National Team Competitions,INT,F
9514,The Atlantic Cup,/leagues/9514/overview/the-atlantic-cup,Club International Cups,INT,M
296,U-20 World Cup,/leagues/296/overview/u-20-world-cup,National Team Competitions,INT,M
9806,UEFA Nations League A,/leagues/9806/overview/uefa-nations-league-a,National Team Competitions,INT,M
9807,UEFA Nations League B,/leagues/9807/overview/uefa-nations-league-b,National Team Competitions,INT,M
9808,UEFA Nations League C,/leagues/9808/overview/uefa-nations-league-c,National Team Competitions,INT,M
9809,UEFA Nations League D,/leagues/9809/overview/uefa-nations-league-d,National Team Competitions,INT,M
74,UEFA Super Cup,/leagues/74/overview/uefa-super-cup,Club International Cups,INT,M
9741,UEFA Youth League,/leagues/9741/overview/uefa-youth-league,Club International Cups,INT,M
10124,Ultimate Quaran-Team,/leagues/10124/overview/ultimate-quaran-team,Club International Cups,INT,M
9375,Women's Champions League,/leagues/9375/overview/womens-champions-league,Club International Cups,INT,F
10096,Women's Club Friendlies,/leagues/10096/overview/womens-club-friendlies,Club International Cups,INT,F
76,Women's World Cup Qualification,/leagues/76/overview/womens-world-cup-qualification,National Team Qualification,INT,F
77,World Cup,/leagues/77/overview/world-cup,National Team Competitions,INT,M
