competition_type,competition_name,ccode,country,gender,id,league_url
Club International Cups,Champions League,INT,International,M,42,/leagues/42/overview/champions-league
Club International Cups,Europa League,INT,International,M,73,/leagues/73/overview/europa-league
Club International Cups,AFC Champions League,INT,International,M,525,/leagues/525/overview/afc-champions-league
Club International Cups,AFC Cup,INT,International,M,9469,/leagues/9469/overview/afc-cup
National Team Competitions,AFC U19,INT,International,M,9841,/leagues/9841/overview/afc-u19
Club International Cups,AFF Suzuki Cup,INT,International,M,9265,/leagues/9265/overview/aff-suzuki-cup
National Team Competitions,Africa Cup of Nations,INT,International,M,289,/leagues/289/overview/africa-cup-of-nations
National Team Competitions,African Nations Championship,INT,International,M,9428,/leagues/9428/overview/african-nations-championship
National Team Competitions,Algarve Cup (W),INT,International,W,9579,/leagues/9579/overview/algarve-cup-(w)
National Team Competitions,Asian Cup,INT,International,M,290,/leagues/290/overview/asian-cup
Club International Cups,CAF Champions League,INT,International,M,526,/leagues/526/overview/caf-champions-league
National Team Competitions,CAF Confed Cup,INT,International,M,9468,/leagues/9468/overview/caf-confed-cup
Club International Cups,CAF Super Cup,INT,International,M,9467,/leagues/9467/overview/caf-super-cup
Club International Cups,Campeones Cup,INT,International,M,9875,/leagues/9875/overview/campeones-cup
Club International Cups,CECAFA Cup,INT,International,M,9306,/leagues/9306/overview/cecafa-cup
Club International Cups,CONCACAF Champions League,INT,International,M,297,/leagues/297/overview/concacaf-champions-league
National Team Competitions,CONCACAF Gold Cup,INT,International,M,298,/leagues/298/overview/concacaf-gold-cup
Club International Cups,CONCACAF League,INT,International,M,9682,/leagues/9682/overview/concacaf-league
National Team Competitions,CONCACAF Nations League,INT,International,M,9821,/leagues/9821/overview/concacaf-nations-league
National Team Competitions,Copa America,INT,International,M,44,/leagues/44/overview/copa-america
Club International Cups,Copa Libertadores,INT,International,M,45,/leagues/45/overview/copa-libertadores
Club International Cups,Copa Sudamericana,INT,International,M,299,/leagues/299/overview/copa-sudamericana
National Team Competitions,EURO,INT,International,M,50,/leagues/50/overview/euro
National Team Competitions,Euro Championship (Women),INT,International,W,292,/leagues/292/overview/euro-championship-(women)
National Team Competitions,EURO U19,INT,International,M,287,/leagues/287/overview/euro-u19
National Team Competitions,EURO U21,INT,International,M,288,/leagues/288/overview/euro-u21
Club International Cups,Europa Conference League,INT,International,M,10216,/leagues/10216/overview/europa-conference-league
National Team Competitions,European Championship U-17,INT,International,M,301,/leagues/301/overview/european-championship-u-17
National Team Competitions,FIFA Arab Cup,INT,International,M,10242,/leagues/10242/overview/fifa-arab-cup
Club International Cups,FIFA Club World Cup,INT,International,M,78,/leagues/78/overview/fifa-club-world-cup
Club International Cups,International Champions Cup,INT,International,M,9408,/leagues/9408/overview/international-champions-cup
Club International Cups,Leagues Cup,INT,International,M,10043,/leagues/10043/overview/leagues-cup
Club International Cups,Recopa Sudamericana,INT,International,M,491,/leagues/491/overview/recopa-sudamericana
Club International Cups,SAFF Championship,INT,International,M,9876,/leagues/9876/overview/saff-championship
National Team Competitions,SheBelieves Cup (W),INT,International,W,9921,/leagues/9921/overview/shebelieves-cup-(w)
National Team Competitions,Summer Olympics,INT,International,M,66,/leagues/66/overview/summer-olympics
National Team Competitions,Summer Olympics (Women),INT,International,W,65,/leagues/65/overview/summer-olympics-(women)
Club International Cups,The Atlantic Cup,INT,International,M,9514,/leagues/9514/overview/the-atlantic-cup
National Team Competitions,U-20 World Cup,INT,International,M,296,/leagues/296/overview/u-20-world-cup
National Team Competitions,UEFA Nations League A,INT,International,M,9806,/leagues/9806/overview/uefa-nations-league-a
National Team Competitions,UEFA Nations League B,INT,International,M,9807,/leagues/9807/overview/uefa-nations-league-b
National Team Competitions,UEFA Nations League C,INT,International,M,9808,/leagues/9808/overview/uefa-nations-league-c
National Team Competitions,UEFA Nations League D,INT,International,M,9809,/leagues/9809/overview/uefa-nations-league-d
Club International Cups,UEFA Super Cup,INT,International,M,74,/leagues/74/overview/uefa-super-cup
Club International Cups,UEFA Youth League,INT,International,M,9741,/leagues/9741/overview/uefa-youth-league
Club International Cups,Ultimate Quaran-Team,INT,International,M,10124,/leagues/10124/overview/ultimate-quaran-team
Club International Cups,Women's Champions League,INT,International,W,9375,/leagues/9375/overview/womens-champions-league
Club International Cups,Women's Club Friendlies,INT,International,W,10096,/leagues/10096/overview/womens-club-friendlies
