gender,country,fbref,fbref_name,fotmob,fotmob_name,transfermarkt,transfermarkt_name,transfermarkt_link,fcpython,fivethirtyeight,football_data,american_soccer_analysis
M,Albania,df526548,Skënderbeu Korçë,10033.0,Skenderbeu,12469.0,KF Skënderbeu,kf-skenderbeu,,Skenderbeu Korce,,
M,Armenia,e6232d10,Alashkert,310094.0,Alashkert FC,37914.0,Alashkert Yerevan FC,alashkert-yerevan,,Alashkert FC,,
M,Armenia,3022534,Pyunik,6345.0,Pyunik,10301.0,FC Pyunik Yerevan,fc-pyunik-erewan,FC Pyunik Yerevan,Pyunik Yerevan,,
M,Austria,50f2a074,Red Bull Salzburg,10013.0,Salzburg,409.0,Red Bull Salzburg,red-bull-salzburg,Red Bull Salzburg,FC Salzburg,Salzburg,
M,Austria,ee0bccc5,Austria Wien,10011.0,Austria Wien,14.0,Austria Vienna,fk-austria-wien,Austria Vienna,FK Austria Vienna,Austria Vienna,
M,Austria,d20821dd,LASK,9977.0,LASK,413.0,LASK,lask-linz,LASK,LASK Linz,LASK,
M,Austria,912e4c40,Rapid Wien,10015.0,Rapid Wien,170.0,Rapid Vienna,sk-rapid-wien,Rapid Vienna,Rapid Vienna,Rapid Vienna,
M,Austria,3f4fe568,Sturm Graz,10014.0,Sturm Graz,122.0,SK Sturm Graz,sk-sturm-graz,SK Sturm Graz,SK Sturm Graz,Sturm Graz,
M,Austria,426658a6,Wolfsberger AC,1954.0,Wolfsberger AC,4441.0,Wolfsberger AC,wolfsberger-ac,Wolfsberger AC,Wolfsberger AC,Wolfsberger AC,
M,Azerbaijan,44b65410,Qarabağ Ağdam,7981.0,Qarabag FK,10625.0,Qarabağ Ağdam,qarabag-agdam,Qarabağ Ağdam,FK Qarabag,,
M,Belarus,b983b638,BATE Borisov,10063.0,BATE Borisov,713.0,BATE Borisov,bate-borisov,BATE Borisov,BATE Borisov,,
M,Belgium,08ad393c,Anderlecht,8635.0,Anderlecht,58.0,RSC Anderlecht,rsc-anderlecht,RSC Anderlecht,Anderlecht,Anderlecht,
M,Belgium,c2e6b53b,Antwerp,9988.0,Royal Antwerp,1096.0,Royal Antwerp FC,royal-fc-antwerpen,Royal Antwerp FC,Antwerp,Antwerp,
M,Belgium,f1e6c5f1,Club Brugge,8342.0,Club Brugge,2282.0,Club Brugge KV,fc-brugge,Club Brugge KV,Club Brugge,Club Brugge,
M,Belgium,1e972a99,Genk,9987.0,Genk,1180.0,KRC Genk,krc-genk,KRC Genk,Genk,Genk,
M,Belgium,51e5a603,Gent,9991.0,Gent,157.0,KAA Gent,kaa-gent,KAA Gent,KAA Gent,Gent,
M,Belgium,33c6b26e,Standard Liège,9985.0,Standard Liege,3057.0,Standard Liège,standard-luttich,Standard Liège,Standard Liege,Standard,
M,Belgium,ecd34b98,Zulte Waregem,10000.0,Zulte Waregem,3508.0,SV Zulte Waregem,sv-zulte-waregem,SV Zulte Waregem,SV Zulte Waregem,Waregem,
M,Belgium,e14f61a5,Union SG,7978.0,Union St.Gilloise,3948.0,Royale Union Saint Gilloise,royale-union-saint-gilloise,,Union Saint Gilloise,St. Gilloise,
M,Brazil,1f68d780,América (MG),1757.0,America MG,2863.0,América Futebol Clube (MG),america-futebol-clube-mg-,,América Mineiro,America MG,
M,Brazil,32d508ca,Atlético Goianiense,239123.0,Goianesia,15172.0,Atlético Clube Goianiense,atletico-clube-goianiense,Atlético Goianiense,Atlético Goianiense,Atletico GO,
M,Brazil,422bb734,Atlético Mineiro,10272.0,Atletico MG,330.0,Clube Atlético Mineiro,clube-atletico-mineiro,Clube Atlético Mineiro,Atletico Mineiro,Atletico-MG,
M,Brazil,2091c619,Atlético Paranaense,10273.0,Athletico Paranaense,679.0,Club Athletico Paranaense,club-athletico-paranaense,Athletico Paranaense,Atlético Paranaense,Atletico-PR,
M,Brazil,f205258a,Avaí,104822.0,Avai FC,2035.0,Avaí Futebol Clube (SC),avai-fc-sc-,,Avaí,Avai,
M,Brazil,157b7fee,Bahia,7877.0,Bahia,10010.0,Esporte Clube Bahia,esporte-clube-bahia,Esporte Clube Bahia,Bahía,Bahia,
M,Brazil,d9fdd9d9,Botafogo (RJ),8517.0,Botafogo,537.0,Botafogo de Futebol e Regatas,botafogo-rio-de-janeiro,Botafogo de Futebol e Regatas,Botafogo,Botafogo RJ,
M,Brazil,f98930d1,Bragantino,109705.0,Red Bull Bragantino,8793.0,Red Bull Bragantino,red-bull-bragantino,Bragantino,Bragantino,Bragantino,
M,Brazil,2f335e17,Ceará,172341.0,Ceara,2029.0,Ceará Sporting Club,ceara-sporting-club,Ceará Sporting Club,Ceará,Ceara,
M,Brazil,baa296ad,Chapecoense,197693.0,Chapecoense AF,17776.0,Associação Chapecoense de Futebol,chapecoense,,Chapecoense AF,Chapecoense-SC,
M,Brazil,bf4acd28,Corinthians,9808.0,Corinthians,199.0,Sport Club Corinthians Paulista,corinthians-sao-paulo,Sport Club Corinthians Paulista,Corinthians,Corinthians,
M,Brazil,d680d257,Coritiba,9767.0,Coritiba,776.0,Coritiba Foot Ball Club,coritiba-fc,,Coritiba,Coritiba,
M,Brazil,03ff5eeb,Cruzeiro,9781.0,Cruzeiro,609.0,Cruzeiro Esporte Clube,ec-cruzeiro-belo-horizonte,,Cruzeiro,Cruzeiro,
